scenario,loss
1,-1.504987983438449
2,4.7511205940797465
3,1.3124386134371266
4,2.706372766111901
5,0.39415232778418696
6,1.0362486648701443
7,1.7838396608620963
8,-2.86273094520201
9,-1.4198016426698004
10,-0.30268954884208377
11,0.5985947917431713
12,0.877432566058445
13,-0.2732316110896271
14,-0.2688062257570447
15,3.6929626617151907
16,-0.4728052090736863
17,2.577837919247428
18,0.5115934500820167
19,1.9591776064678652
20,-0.18005459288012415
21,4.42483938738534
22,-1.911882372839376
23,1.3810211185659016
24,1.3440218344786627
25,0.2058495422097989
26,1.1482041724798815
27,1.3896772818052963
28,1.0732470815966486
29,-0.4742680664372718
30,0.723155837663356
31,0.6021177825626012
32,4.460418137747845
33,4.2922586119524295
34,-0.27428552741139844
35,0.9926963312686631
36,-0.0986599245633577
37,6.347102262992072
38,0.9855763006850277
39,1.938412930754574
40,1.3320725801542275
41,0.1719046286034639
42,3.599634190909776
43,0.2346782669394818
44,1.595867590412639
45,2.9661417537472214
46,0.2629106501813272
47,1.7652852226952094
48,1.6752541122146951
49,0.41430169725212773
50,1.384309826954698
51,-2.2682236380182506
52,5.927780774332111
53,1.6430133053259672
54,2.0581044585677963
55,1.7023935713067038
56,1.1189284342270152
57,0.821694755488206
58,4.851482735289433
59,-1.5531414145968714
60,-0.06833161722619263
61,-1.5997732404398557
62,-0.20871533152296462
63,2.476931429891449
64,0.013362276266829398
65,1.4689412731963478
66,0.6540852117628204
67,-2.0027996248587883
68,-0.2659665906226061
69,1.906098921952388
70,0.6903238860246315
71,3.0844759655251917
72,0.4471110541991952
73,-0.1210174321121924
74,-0.7427097733149772
75,0.25811208853729584
76,8.017395111612622
77,-1.557649702082444
78,0.4042363552087728
79,-3.285039781075972
80,0.3965390948538849
81,0.3153020374035197
82,1.7472589632238749
83,0.9550356259029109
84,-0.5124859983684664
85,2.6637585178479615
86,1.2351651925400486
87,2.6639660982264486
88,-0.056054820748292045
89,0.22422410586956942
90,-1.3490816058399588
91,-0.019248906668680177
92,5.783973754028332
93,4.178650020620468
94,0.29335621243332777
95,1.8249929530918203
96,0.6812781484784394
97,0.9512963929630467
98,-0.7181005302532397
99,1.7449100621129103
100,-1.2934890703403987
101,1.966829330704306
102,1.912822391850738
103,-0.7474165132926831
104,-1.2767463782790653
105,1.4892191206887815
106,-0.08290031989198354
107,0.3764870701351071
108,-2.079981824570714
109,3.7319201985441977
110,-1.3100319972466072
111,-1.7796140877192255
112,0.06000916413689095
113,0.6097115544827898
114,-0.9129317274588025
115,0.23380740394761923
116,3.8833102057568265
117,1.827348592577408
118,1.8112776420904235
119,0.9740912741231875
120,-1.2997526824390582
121,-0.20450571633919679
122,2.4895404180592893
123,1.0099441112462528
124,0.4741689872366959
125,-1.4034664383598885
126,-0.7559527147102736
