T,strike_moneyness,K,call_price,implied_vol
0.25,0.75,75.56461465834005,25.10195493769025,0.2861212678303737
0.25,0.8,80.60225563556271,20.237530104664643,0.26788425582148656
0.25,0.85,85.63989661278538,15.516704220057832,0.24909619442571468
0.25,0.9,90.67753759000806,11.055874902198312,0.22946653115055188
0.25,0.95,95.71517856723071,7.036742085166608,0.20868580139147536
0.25,1.0,100.75281954445339,3.724566680061166,0.18678927818568797
0.25,1.05,105.79046052167607,1.4583837611300936,0.16576182118799443
0.25,1.1,110.82810149889873,0.39406189544361503,0.15141640734038087
0.25,1.15,115.86574247612138,0.08428479910604914,0.14629284258331487
0.25,1.2,120.90338345334406,0.01667303797875841,0.14654832435400916
0.25,1.25,125.94102443056673,0.0036054181273226515,0.15041900784805545
0.5,0.75,76.13347984617891,25.475417379582083,0.2699895289426173
0.5,0.8,81.20904516925752,20.809087412401155,0.2527680422107501
0.5,0.85,86.2846104923361,16.330780108154272,0.2351844945032961
0.5,0.9,91.3601758154147,12.126406760879874,0.21712381234223677
0.5,0.95,96.4357411384933,8.31748592286695,0.19860932549450605
0.5,1.0,101.51130646157189,5.075894115469723,0.18005679990087592
0.5,1.05,106.58687178465048,2.6211619864860225,0.16282479362790725
0.5,1.1,111.66243710772909,1.1115584306389543,0.1496152933000653
0.5,1.15,116.73800243080767,0.40838220538810077,0.14259340701891365
0.5,1.2,121.81356775388626,0.1434958906794308,0.14076066254676983
0.5,1.25,126.88913307696487,0.050884450758698074,0.14179875789894025
1.0,0.75,77.28409004651377,26.277302833582326,0.24667056045345814
1.0,0.8,82.43636271628137,21.85206431402257,0.2320739149078711
1.0,0.85,87.58863538604895,17.63720403585124,0.2176190371635519
1.0,0.9,92.74090805581653,13.698796765286573,0.20333867746490253
1.0,0.95,97.89318072558412,10.12134104491144,0.1893471058361283
1.0,1.0,103.0454533953517,7.008101299620812,0.17589320252770407
1.0,1.05,108.19772606511928,4.470701098758958,0.16344703887955087
1.0,1.1,113.34999873488688,2.5940044791670474,0.15273984847430766
1.0,1.15,118.50227140465445,1.3739383830482126,0.14459330665752018
1.0,1.2,123.65454407442203,0.6828060541042351,0.13941726194492016
1.0,1.25,128.80681674418963,0.33077724765797356,0.13689996190475973
2.0,0.75,79.63774099090196,27.68716344089752,0.22379938047728104
2.0,0.8,84.94692372362877,23.585999789743965,0.2134936396022128
2.0,0.85,90.25610645635557,19.71509310019438,0.20357188537315363
2.0,0.9,95.56528918908236,16.11692049900457,0.19403926672747174
2.0,0.95,100.87447192180916,12.836745147782004,0.18492332431715558
2.0,1.0,106.18365465453596,9.919715285723697,0.17627763551366826
2.0,1.05,111.49283738726275,7.405799427330564,0.1681889188493691
2.0,1.1,116.80202011998956,5.3222683734748415,0.16077091957504858
2.0,1.15,122.11120285271635,3.674702448412596,0.15416034783330163
2.0,1.2,127.42038558544314,2.4397825069942165,0.1484880901129913
2.0,1.25,132.72956831816995,1.5648609084649756,0.14384407342888134
3.0,0.75,82.06307127789077,28.97203214107732,0.2137372621659145
3.0,0.8,87.53394269641683,25.1137205271838,0.2058853070853242
3.0,0.85,93.00481411494287,21.48707161303615,0.19840009024321753
3.0,0.9,98.47568553346893,18.11889094950019,0.1912699113869044
3.0,0.95,103.94655695199498,15.034532182795594,0.18449242571071972
3.0,1.0,109.41742837052104,12.256185747262876,0.1780751321152914
3.0,1.05,114.8882997890471,9.800792893652599,0.1720348676048764
3.0,1.1,120.35917120757316,7.677748836985053,0.16639469597344775
3.0,1.15,125.83004262609919,5.886740640591064,0.16118389177909775
3.0,1.2,131.30091404462524,4.416252275138326,0.15643351944432748
3.0,1.25,136.7717854631513,3.2433487072581,0.15217097809245228
