scenario,equity_return,loss
1,0.015232419110989204,-0.1958958253622246
2,0.021909413462194785,-0.3031748526932878
3,0.019696106611242208,-0.16210705204901238
4,0.01103475786031158,0.3485492884946626
5,-0.009743071435659964,0.7661964711215452
6,-0.018900420558924613,1.125010167462128
7,-0.011054970279665715,0.7800957203893948
8,-0.020023483495821327,1.2858045075682665
9,0.035700970105199764,-0.46896869309909595
10,0.005529747313016894,0.3655905549813072
11,0.0029227263769303273,0.6683557393866325
12,0.011948462742282706,0.1509783839945339
13,-0.01449072542668551,1.1005512554293102
14,0.006638713465817608,0.13213675170682515
15,-0.025153228818045697,1.9197680771949335
16,-0.016588260653238915,1.2556903288632661
17,0.00532502655320472,0.28599136908433437
18,-0.04487156496852768,3.3818503230789063
19,-0.005360137002630988,0.82269014995538
20,0.012194829044842882,0.3226881300114462
21,0.010970833549866933,-0.18708367400338782
22,0.006603510476722857,0.6577590245728933
23,-0.02606027242666426,1.3393733310653502
24,-0.0010080594885662382,0.8034620956310521
25,0.0032372268731906072,0.1854478977187629
26,-0.023577451946615795,1.4757727344109453
27,-0.011124897064756875,1.210507602924377
28,-0.004705417436670214,1.2543734997145992
29,0.0035208768464092205,0.5130295337816658
30,-0.00270640638604575,0.0945446450804106
31,-0.023388344376086005,1.9696318151138295
32,0.019729229245333373,-0.04775796179154812
33,-0.011658550989670783,1.245387268367499
34,-0.018611640118955795,1.627317516451627
35,-0.02404440018942297,1.6747009459040239
36,-0.004544504172188545,0.8564894378756953
37,-0.008811042178438576,1.1363243511629981
38,0.021846304458928874,-0.5653148262478661
39,-0.0032997940190537976,0.8918193254524281
40,-0.019941250793541223,1.300623304660762
41,-0.021836997687927732,1.7667448647428012
42,-0.018223442957766758,1.516880949722983
43,0.002272500899440003,0.5243091546087609
44,-0.012601877952924171,1.3177475810647084
45,-0.0046031693902443115,1.2779972717633568
46,0.015840332891190932,-0.13119742088508
47,0.013707416079842867,0.13720491562993078
48,-0.002320166634423717,0.41652982707242725
49,-0.015517926678282584,1.3488651780644842
50,-0.00400748390178537,0.890945228773092
51,0.003949283013525077,0.40548766903115085
52,0.006576040471980626,0.39049869224578493
53,-0.0005512585768756475,0.6007152266687914
54,0.008150789059993968,0.45126649300009325
